,ville,latitude,longitude,prix_valeur,prix_nom
0,Saint-Genest-Malifaux,45.342869278199004,4.4207864105866,1.89,Gazole
1,Le Blanc-Mesnil,48.92779230000001,2.4739954,1.009,GPLc
2,Revel-Tourdan,45.373,5.027,1.1,E85
3,Bastia,42.703581401618,9.4421935452675,1.98,SP95
4,CHANVERRIE,46.951,-0.981,1.933,E10
5,Albaret-Sainte-Marie,44.872,3.249,2.069,Gazole
6,FAUVILLE-EN-CAUX,49.652,0.6,1.049,E85
7,ARC-LèS-GRAY,47.4541,5.58994,1.781,Gazole
8,Cergy,49.05,2.045,1.977,SP98
9,Boissy saint léger,48.748,2.51,1.199,E85
10,FUVEAU,43.466,5.606,0.837,GPLc
11,Landivisiau,48.51488768027399,-4.0537514354554,1.809,Gazole
12,Gif-sur-Yvette,48.703,2.128,2.029,E10
13,Rosières,48.266508041454,4.0611727612853,1.819,E10
14,SOYAUX,45.639,0.219,1.842,E10
15,AUBAGNE,43.292527999804996,5.5932834572195995,1.835,E10
16,Chail,46.205,-0.097,1.92,E10
17,DREUX,48.743,1.39,1.858,E10
18,OUST,42.883,1.215,1.129,E85
19,Bourges,47.041867728406004,2.348930007346,1.798,Gazole
20,MULHOUSE,47.73842999309301,7.2941953372956,1.821,E10
21,BOURGES,47.093,2.428,1.838,E10
22,VERGT,45.022,0.71,1.779,Gazole
23,Eragny sur Oise,49.026324790000004,2.10290854,1.999,E10
24,SAINT-FLOUR,45.038,3.065,1.899,SP95
25,SAINT-FLOUR,45.038,3.065,1.119,E85
26,Lesperon,43.93687501,-1.0925597999999999,2.1,Gazole
27,VANDOEUVRE-LèS-NANCY,48.654,6.177,1.975,SP98
28,SAINT-DOULCHARD,47.112,2.378,1.915,SP98
29,CHARNAY-LèS-MâCON,46.30944,4.81183,1.889,SP95
30,Saint-Ambreuil,46.691945189175,4.8451681799291,2.106,SP98
31,SAINT-MICHEL-DE-MAURIENNE,45.22,6.459,1.962,Gazole
32,Villaines-la-Gonais,48.124964192082,0.62210350597264,2.224,SP98
33,SAINT-DIONIZY,43.80672,4.23172,1.846,SP98
34,Chalais,45.273,0.042,1.899,SP98
35,Pougues-les-Eaux,47.07736,3.09879,1.989,SP95
36,MOUGINS,43.584,7.025,2.004,E10
37,Florac,44.328,3.592,1.957,SP95
38,La Chapelle-Saint-Ursin,47.063,2.324,1.959,SP95
39,RUFFIEUX,45.846422494013005,5.837168340167101,1.859,E10
40,BONNETABLE,48.178,0.437,1.98,Gazole
41,Courchevel,45.41515,6.63731,2.02,SP95
42,Chaufour-lès-Bonnières,49.02015,1.48938,1.783,Gazole
43,Ergué-Gabéric,47.999,-4.053,1.879,SP95
44,Guignicourt,49.435036675202,3.9668949241097,1.958,SP98
45,Grenoble,45.17108,5.72398,2.079,SP98
46,VERQUIN,50.502,2.652,1.909,SP98
47,CHORGES,44.552,6.256,1.92,SP98
48,Séranon,43.764,6.656,1.96,SP98
49,Allevard,45.386853166258994,6.068597594965399,1.945,SP98
50,Saint-Julien-les-Villas,48.268,4.088,1.845,Gazole
51,Toulouse,43.626,1.459,1.795,Gazole
52,Aulnay,46.029,-0.351,1.862,SP98
53,Panazol,45.82753,1.2918,1.887,SP98
54,Longvic,47.291,5.057,1.899,Gazole
55,Viviez,44.56,2.224,1.819,E85
56,VILLENEUVE-LE-ROI,48.728739311157995,2.4318446308188,2.079,SP98
57,Bollezeele,50.867,2.341,,
58,LA CIOTAT,43.188,5.602,1.796,Gazole
59,Savy-Berlette,50.348,2.569,1.899,Gazole
60,SAINT-JEAN-DE-VéDAS,43.568,3.85,1.805,Gazole
61,CESSON,48.586955815752,2.5964565667331,1.879,E10
62,INGWILLER,48.868,7.47,1.849,E10
63,GENNEVILLIERS,48.92082,2.30617,1.891,Gazole
64,BIOT,43.62474,7.10244,1.929,Gazole
65,Samazan,44.431,0.129,1.883,Gazole
66,Samazan,44.431,0.129,2.058,SP98
67,Maulette,48.792,1.633,2.107,SP98
68,CAEN,49.172764816770005,-0.389710297385,1.099,E85
69,Fontaine-lès-Vervins,49.843,3.905,1.967,SP98
70,TOURNEFEUILLE,43.578,1.327,1.956,Gazole
71,Doué-la-Fontaine,47.19,-0.291,1.959,SP98
72,Laguiole,44.683,2.851,1.869,Gazole
73,BAULNE,48.507,2.37442,1.967,SP98
74,Ussy sur marne,48.96384,3.05281,2.046,SP98
75,PUISEUX-PONTOISE,49.05575,2.0188,2.023,SP98
76,Orly,48.743,2.408,1.939,SP98
77,Arcins,45.069,-0.723,1.815,Gazole
78,TOUQUES,49.35023,0.09044,1.813,E10
79,Aire-sur-l'Adour,43.707393700000004,-0.2565532,1.849,Gazole
80,SAINT ROMAIN EN GIER,45.570715,4.711329,2.139,SP98
81,BIGUGLIA,42.621,9.437,1.25,GPLc
82,Vézeronce-Curtin,45.6672333159,5.473684973199999,1.811,E10
83,Villiers-en-Plaine,46.42905,-0.50681,2.096,SP98
84,LAVAL,48.079,-0.753,2.032,SP98
85,PONT-L'ABBE-D'ARNOULT,45.83,-0.877,1.874,SP98
86,Samer,50.639,1.759,1.079,E85
87,LES ULIS,48.678,2.199,1.929,SP98
88,Chauray,46.342,-0.377,1.794,E10
89,Chauray,46.342,-0.377,1.872,SP98
90,BEUZEVILLE,49.373,0.66,2.014,Gazole
91,Villaines-la-Juhel,48.340561388988,-0.26950407978172,1.899,SP95
92,Roissy-en-Brie,48.79,2.642,1.881,SP95
93,La Barre-de-Monts,46.89,-2.123,1.819,E10
94,Saint-Avold,49.108,6.719,1.859,Gazole
95,DUN-LE-PALESTEL,46.303,1.669,1.848,E10
96,La Ciotat,43.192444730265,5.6660234672218,2.027,E10
97,SAINT-DIZIER,48.649,4.959,0.96,GPLc
98,Brive-la-Gaillarde,45.156,1.518,1.119,E85
99,LES ABRETS-EN-DAUPHINE,45.537,5.577,1.789,Gazole
100,Laroque-des-Albères,42.5479340515,2.94103392299,1.889,SP95
101,LUCEAU,47.706,0.406,1.818,E10
102,Brest,48.389,-4.528,1.849,SP95
103,LE THILLOT,47.889,6.775,1.802,Gazole
104,DAOULAS,48.359,-4.254,1.749,Gazole
105,Sombernon,47.317,4.708,1.839,E10
106,VOUILLE,46.297,-0.372,2.154,SP98
107,Tonnay-Charente,45.9499806704,-0.926442213693,1.099,E85
108,LIT-ET-MIXE,44.025,-1.259,1.809,Gazole
109,SERVIAN,43.422,3.313,1.122,E85
110,MONTIGNY-LèS-CORMEILLES,48.993,2.198,1.859,E10
111,OUTREAU,50.711,1.601,1.934,SP98
112,Sorigny,47.246553839515,0.69664144470514,1.099,E85
113,Susville,44.924571125711,5.7825489754642,1.819,E10
114,VITTEL,48.198083614299996,5.9403257296000005,1.949,SP95
115,Guérande,47.32944,-2.41115,1.744,Gazole
116,Saint-Arnoult-en-Yvelines,48.57456,1.93878,1.873,E10
117,PANAZOL,45.832,1.304,1.879,SP98
118,Escatalens,43.986,1.194,1.99,SP98
119,LANUéJOLS,44.13128,3.38283,1.85,Gazole
120,BRAM,43.241,2.101,1.939,SP95
121,CHAMPS-SUR-YONNE,47.74,3.599,1.999,SP98
122,Bellegarde-en-Forez,45.647,4.297,1.965,SP95
123,Saint-Pierre-du-Mont,43.882980999999994,-0.51997589,1.069,E85
124,JOSSELIN,47.964,-2.545,1.779,Gazole
125,VIREUX-MOLHAIN,50.081,4.725,1.898,SP98
